"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"786","FLORIDA","BREVARD","12009",0.577750101667344,0.576229889900323,-0.00152021176702177,-0.687430440580158,"Within two standard deviations"
"787","MISSOURI","CRAWFORD","29055",0.796617161716172,0.795133509523376,-0.001483652192796,-0.686164012873819,"Within two standard deviations"
"788","ALABAMA","LAWRENCE","01079",0.730528019421404,0.768635768199114,0.0381077487777102,0.685286508190594,"Within two standard deviations"
"789","KANSAS","RUSSELL","20167",0.806138427810836,0.804730314392847,-0.00140811341798941,-0.683547341335819,"Within two standard deviations"
"790","NEW YORK","LIVINGSTON","36051",0.575738403649562,0.57436189032095,-0.00137651332861188,-0.682452710734725,"Within two standard deviations"
"791","WISCONSIN","DANE","55025",0.229919649567604,0.228544248544771,-0.00137540102283376,-0.682414180339195,"Within two standard deviations"
"792","WEST VIRGINIA","WEBSTER","54101",0.773002014775017,0.810993533215755,0.0379915184407386,0.681260276425722,"Within two standard deviations"
"793","NEW JERSEY","GLOUCESTER","34015",0.484040647260323,0.482699503052347,-0.00134114420797554,-0.681227520472768,"Within two standard deviations"
"794","OHIO","SCIOTO","39145",0.667554573804574,0.705495054139233,0.0379404803346591,0.679492310770026,"Within two standard deviations"
"795","MAINE","WALDO","23027",0.457039679394019,0.455751852153383,-0.00128782724063675,-0.679380614810277,"Within two standard deviations"
"796","OHIO","BROWN","39015",0.743254959963278,0.781190747061054,0.0379357870977758,0.679329736523816,"Within two standard deviations"
"797","MINNESOTA","CHIPPEWA","27023",0.604950176792028,0.64286794736046,0.0379177705684315,0.678705641948951,"Within two standard deviations"
"798","NEBRASKA","BOX BUTTE","31013",0.734565393988627,0.772437753329473,0.037872359340846,0.677132591988413,"Within two standard deviations"
"799","OHIO","WYANDOT","39175",0.705060422960725,0.742932396839333,0.0378719738786076,0.677119239533721,"Within two standard deviations"
"800","MISSISSIPPI","SIMPSON","28127",0.647429722392504,0.646212441811257,-0.00121728058124682,-0.676936870704032,"Within two standard deviations"
"801","OHIO","JACKSON","39079",0.726575622580881,0.764431526294444,0.037855903713563,0.676562567234084,"Within two standard deviations"
